epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,247.759,1.10436,0.89576,1.41019,0.87056,0.78378,0.8947,0.59684,1.135,0.98095,1.71055,0.000712282,0.000712282,0.000712282
86,251.024,1.03132,0.86178,1.32359,0.79305,0.81081,0.89104,0.59633,1.11926,0.96854,1.71267,0.000639518,0.000639518,0.000639518
87,254.027,1.16974,0.95739,1.51803,0.81245,0.81973,0.89499,0.59807,1.11034,0.97643,1.71178,0.000571106,0.000571106,0.000571106
88,256.947,1.10539,0.93631,1.4365,0.79165,0.82169,0.89573,0.59985,1.08556,0.9576,1.69796,0.000507115,0.000507115,0.000507115
89,259.888,1.18808,0.93506,1.52619,0.76685,0.89189,0.8899,0.59093,1.0824,0.94168,1.69014,0.000447606,0.000447606,0.000447606
90,262.794,1.11454,1.01529,1.40755,0.78134,0.83784,0.91129,0.60788,1.09722,0.92557,1.69068,0.00039264,0.00039264,0.00039264
91,271.851,1.18086,1.12804,1.81012,0.8874,0.85222,0.91535,0.6037,1.11198,0.94246,1.68656,0.00034227,0.00034227,0.00034227
92,274.605,1.06963,1.04527,1.65744,0.91121,0.83226,0.91582,0.59611,1.1222,0.95526,1.68356,0.000296546,0.000296546,0.000296546
93,277.314,1.11614,1.01019,1.70104,0.90181,0.83784,0.91378,0.59823,1.12875,0.96709,1.68393,0.000255513,0.000255513,0.000255513
94,280.048,1.23718,1.03323,1.84645,0.88632,0.84302,0.89544,0.59558,1.12595,0.96571,1.67915,0.000219212,0.000219212,0.000219212
95,282.764,1.13117,1.01538,1.72132,0.90121,0.83784,0.91582,0.6096,1.11798,0.96771,1.68005,0.000187678,0.000187678,0.000187678
96,285.583,1.1301,1.00779,1.71683,0.85896,0.82318,0.89571,0.58648,1.10393,0.95499,1.67159,0.000160943,0.000160943,0.000160943
97,288.417,1.12668,1.00521,1.70754,0.86846,0.83784,0.90661,0.59244,1.0923,0.94514,1.66256,0.000139032,0.000139032,0.000139032
98,291.3,1.17331,1.0047,1.78679,0.87508,0.83784,0.90751,0.59301,1.08774,0.94051,1.65813,0.000121968,0.000121968,0.000121968
99,294.246,1.03914,0.94276,1.68296,0.89533,0.83784,0.91624,0.60765,1.08771,0.92015,1.65704,0.000109768,0.000109768,0.000109768
100,297.198,1.08971,0.95529,1.65512,0.86122,0.83859,0.9177,0.61046,1.08784,0.91386,1.65667,0.000102443,0.000102443,0.000102443
